year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,Rnd,Pick,Tm,Name,Pos,Age,To,AP1 Misc,PB Misc,St,CarAV Approx Val,DrAV Approx Val,G,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,Att Rushing,Yds Rushing,TD Rushing,Rec Receiving,Yds Receiving,TD Receiving,Tkl,Int,Sk,College/Univ,Source,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,Carl Davis,Carl,Davis,DT,6,5,77,320,0,0,5.07,0,0,4.47,7.91,33,103,0,0,Iowa,,0,0,0,5.9,3,90,BAL,Carl Davis,DT,23,2015,0,0,0,,,10,,,,,,,,,,,,4,,,Iowa,College Stats,90,BAL,Carl Davis,DT,Iowa,4,"$3,074,609","$625,084","$625,084","$591,271"
2015,Geremy Davis,Geremy,Davis,WR,6,2,74,216,0,0,0,0,0,4.18,6.86,36.5,124,23,0,Connecticut,,0,0,0,4.8,6,186,NYG,Geremy Davis,WR,23,2015,0,0,0,,,10,,,,,,,,,2,21,0,,,,Connecticut,College Stats,186,NYG,Geremy Davis,WR,Connecticut,4,"$2,407,082","$127,082","$127,082","$466,770"
2015,Mike Davis,Mike,Davis,RB,5,9,69,217,0,0,4.61,0,0,4.18,7,34,116,17,0,South Carolina,,0,0,0,5.4,4,126,SFO,Mike Davis,RB,22,2015,0,0,0,,,5,,,,,,25,24,0,5,23,0,,,,South Carolina,College Stats,126,SFfrom DEN,Mike Davis,RB,South Carolina,4,"$2,748,781","$468,781","$468,781","$552,195"
2015,Tyeler Davison,Tyeler,Davison,DT,6,2,74,316,0,0,5.18,0,0,4.46,7.53,33,105,32,0,Fresno St.,,0,0,0,5.5,5,154,NOR,Tyeler Davison,DT,23,2015,0,0,0,,,12,,,,,,,,,,,,6,,1.5,Fresno St.,College Stats,154,NOfrom KC,Tyeler Davison,DT,Fresno State,4,"$2,497,225","$217,225","$217,225","$489,306"
2015,Paul Dawson,Paul,Dawson,ILB,6,0,72,235,0,0,4.93,0,0,4.49,0,28,109,21,0,TCU,,0,0,0,6,3,99,CIN,Paul Dawson,ILB,22,2015,0,0,0,,,8,,,,,,,,,,,,1,,,TCU,College Stats,99 (C),CIN,Paul Dawson,LB,Texas Christian,4,"$2,952,710","$581,952","$581,952","$580,488"
2015,A.J. Derby,A.J.,Derby,TE,6,4,76,255,0,0,0,0,0,0,0,0,0,15,0,Arkansas,,0,0,0,5.3,6,202,NWE,A.J. Derby,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,,202,"NEfrom BAL 
via CLE",A.J. Derby,TE,Arkansas,4,"$2,392,053","$112,053","$112,053","$346,013"
2015,Xzavier Dickson,Xzavier,Dickson,OLB,6,3,75,260,0,0,4.74,0,0,4.53,7.56,29.5,100,19,0,Alabama,,0,0,0,5.1,7,253,NWE,Xzavier Dickson,OLB,,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,253 (C),NE,Xzavier Dickson,OLB,Alabama,4,"$2,332,783","$52,783","$52,783","$448,195"
2015,Quandre Diggs,Quandre,Diggs,CB,5,9,69,196,0,0,4.56,0,0,4.15,7.22,35.5,113,17,0,Texas,,0,0,0,5.2,6,200,DET,Quandre Diggs,CB,23,2015,0,0,0,,,12,,,,,,,,,,,,18,,,Texas,College Stats,200,DET,Quandre Diggs,CB,Texas,4,"$2,395,352","$115,352","$115,352","$463,838"
2015,Stefon Diggs,Stefon,Diggs,WR,6,0,72,195,0,0,4.46,0,0,4.32,7.03,35,115,0,0,Maryland,,0,0,0,5.6,5,146,MIN,Stefon Diggs,WR,21,2015,0,0,0,,,9,,,,,,3,13,0,42,626,2,,,,Maryland,College Stats,146,MINfrom ATL,Stefon Diggs,WR,Maryland,4,"$2,507,713","$227,713","$227,713","$491,928"
2015,Andrew Donnal,Andrew,Donnal,OT,6,6,78,313,0,0,5.31,0,0,4.77,7.84,32,101,17,0,Iowa,,0,0,0,5.4,4,119,STL,Andrew Donnal,T,23,2015,0,0,0,,,5,,,,,,,,,,,,,,,Iowa,College Stats,119,STLfrom PHI,Andrew Donnal,T,Iowa,4,"$2,776,935","$496,935","$496,935","$559,233"
2015,Phillip Dorsett,Phillip,Dorsett,WR,5,10,70,185,0,0,4.33,0,0,4.11,6.7,37,122,13,0,Miami,,0,0,0,5.7,1,29,IND,Phillip Dorsett,WR,22,2015,0,0,0,,,7,,,,,,1,4,0,11,167,1,,,,Miami (FL),College Stats,29,IND,Phillip Dorsett,WR,Miami (FL),4,"$8,135,414","$4,176,665","$6,591,040","$1,479,166"
