R1_year,R5_pos,Phys3_htin,Phys4_wt,Speed1_40,Speed4_20ss,Speed5_3cone,Strg1_v,Strg2_b,Strg3_bench,Draft6_grade,Draft8_pick,Draft9_team
2014,ILB,74,248,4.7,0,0,36,120,30,5.2,126,NOR
2014,RB,68,206,4.58,4.26,7.11,31.5,118,0,5.6,103,ATL
2014,CB,72,190,4.49,4.19,6.9,38.5,128,12,5.4,14,CHI
2014,OG,77,316,5.16,5.16,7.87,24.5,98,25,5.3,193,KAN
2014,RB,71,220,4.49,4.18,6.78,36.5,116,0,5.1,204,CAR
2014,CB,70,190,0,0,0,0,0,15,5.3,188,STL
2014,CB,72,193,4.38,4.04,6.62,36.5,122,11,4.5,87,KAN
2014,WR,67,185,4.49,0,0,0,0,15,5,244,NWE
2014,QB,74,226,4.97,4.26,7.04,30.5,110,0,5.4,62,NWE
2014,ILB,71,234,4.91,0,0,33,116,28,5.2,154,NYJ
2014,CB,72,202,4.37,0,6.92,35.5,126,20,6.3,8,CLE
2014,TE,78,260,4.89,4.44,7.42,33.5,120,0,5,99,BAL
2014,CB,71,194,4.52,4.34,6.8,37,123,11,5,197,GNB
2014,WR,72,199,4.64,4.11,6.68,35.5,119,8,5.1,142,WAS
2014,RB,72,208,0,0,0,0,0,0,5.2,201,SDG
2014,DT,78,310,5.02,0,7.87,35.5,114,32,6.1,37,ATL
2014,CB,70,188,4.5,4.27,7.14,35.5,119,15,5.2,216,HOU
2014,OG,75,323,5.34,4.83,8.26,21.5,100,0,5,179,NWE
2014,DE,78,281,0,0,0,0,0,21,5.3,141,PHI
2014,WR,73,198,4.5,4.2,7.08,36.5,118,15,5.2,190,MIA
2014,OT,79,331,5.04,4.77,8.15,24,95,0,5.6,237,BUF
2014,WR,69,193,4.48,4.27,6.84,35.5,125,18,5.2,185,TAM
2014,RB,73,233,4.66,0,0,29,113,20,5.8,55,CIN
2014,OLB,72,240,4.74,4.45,7.15,31.5,116,23,5,119,DAL
2014,K,72,189,0,0,0,0,0,0,4.5,228,WAS
2014,WR,71,206,4.51,0,0,35.5,116,14,5.3,86,PHI
2014,FS,71,196,4.49,4.19,7.26,35.5,118,15,5.7,122,TEN
2014,RB,72,230,4.66,0,0,34.5,114,19,6.2,57,SFO
2014,ILB,73,254,0,0,0,0,0,0,5.2,203,IND
2014,CB,72,195,4.51,4,6.75,38,128,13,5.2,187,NYG
2014,OG,75,336,5.51,4.78,8.25,29,108,30,6,81,OAK
2014,OT,78,311,5.34,4.56,7.42,29,103,22,5.6,19,MIA
2014,CB,70,180,4.44,4.19,6.81,39,0,9,5.3,184,MIN
2014,WR,75,219,4.42,3.98,6.64,37.5,123,20,5.3,236,GNB
2014,CB,75,218,4.61,4.33,0,41.5,128,13,5.3,58,NOR
2014,NT,74,299,5.06,0,0,29.5,102,27,5.6,48,BAL
2014,CB,74,200,4.45,4.24,6.82,38.5,124,12,5.3,129,SFO
2014,RB,72,209,4.6,0,0,35.5,118,16,5.3,222,JAX
2014,OT,77,297,5.11,4.64,7.4,29,111,26,5.2,173,PIT
2014,DT,76,322,5.35,0,7.73,27.5,101,25,5.6,112,TEN
2014,CB,68,184,4.55,4.4,7.26,37.5,124,14,5.2,41,STL
2014,OLB,75,249,4.7,4.32,7.25,30,113,23,5.1,174,NYG
2014,OLB,74,233,0,0,0,32,122,16,5.2,71,CLE
2014,OT,79,322,5.59,4.84,7.71,27.5,96,21,5.8,44,BUF
2014,WR,71,205,4.77,0,0,28.5,110,12,5.6,63,MIA
2014,WR,74,215,0,0,0,0,0,23,5.2,56,DEN
2014,DE,75,251,4.8,0,7.46,34.5,113,20,6.1,34,DAL
2014,CB,69,190,4.48,4.4,7.12,33,120,16,4.8,133,DET
2014,WR,72,192,4.52,4.01,0,38,127,0,6.2,39,JAX
2014,OT,79,309,4.87,4.49,7.39,30.5,117,29,6.2,11,TEN
2014,OG,78,311,5.35,0,0,26.5,100,30,5.3,93,JAX
2014,C,75,296,0,0,0,27,0,36,5.1,161,GNB
2014,OG,77,320,0,0,0,0,0,0,5.3,78,WAS
2014,TE,77,258,4.82,4.35,7.38,29.5,116,28,5.1,155,MIA
2014,OLB,75,251,4.65,4.18,7.08,40,128,23,6.7,5,OAK
2014,QB,72,207,4.68,4.03,6.75,31.5,113,0,5.9,22,CLE
2014,DE,76,252,4.89,0,7.08,32,108,14,5.4,108,SEA
2014,DE,78,272,4.72,0,7.2,35.5,129,22,5.3,84,ARI
2014,C,75,320,0,0,0,0,0,23,5.5,70,SFO
2014,OT,76,308,0,4.59,7.65,28,106,29,6,16,DAL
2014,RB,68,207,4.5,4.15,0,38.5,126,0,5.8,75,STL
2014,WR,75,212,4.46,4.18,6.95,35.5,120,21,5.6,42,PHI
2014,DT,79,352,0,0,0,20.5,97,27,5.6,215,PIT
2014,CB,70,196,0,0,0,0,0,0,5.1,80,NYJ
2014,CB,75,211,4.51,4.18,7.29,39,129,0,5.4,116,OAK
2014,RB,69,209,4.41,4.12,6.83,40.5,132,32,5.2,96,MIN
2014,QB,77,224,0,0,0,0,0,0,5.3,178,TEN
2014,OT,78,309,5.37,4.64,7.79,26,101,28,5.6,59,IND
2014,FB,74,247,0,0,0,0,0,0,5.1,245,SFO
2014,CB,71,192,4.63,4,6.57,34,117,0,5.2,254,DAL
2014,WR,74,221,4.4,4.3,7.02,39.5,132,13,5.8,90,IND
2014,DE,77,269,4.84,0,7.41,33.5,123,23,5.3,198,NWE
2014,OT,78,314,5.35,4.95,7.93,21.5,106,0,5.3,66,WAS
2014,ILB,74,234,0,4.4,7.3,35,118,0,6.5,17,BAL
2014,OLB,77,250,4.86,4.2,6.78,35.5,118,19,5.6,47,WAS
2014,DE,75,247,4.73,0,7.31,34,117,21,5.2,166,IND
2014,TE,78,270,0,4.55,7.57,32,114,27,5.6,52,ARI
2014,NT,74,331,5.42,0,8.29,25.5,97,0,5.9,83,HOU
2014,WR,74,198,4.48,4.32,6.68,33,121,8,5.2,123,SEA
2014,P,76,220,4.64,0,0,30.5,0,23,5,191,CHI
2014,DE,75,310,0,0,0,0,0,0,5.3,177,HOU
2014,OLB,72,232,4.51,4.02,6.92,39,128,28,4.6,132,SEA
2014,OLB,75,237,4.65,0,0,35.5,114,21,5.4,169,NOR
2014,WR,71,189,4.63,4.23,6.7,31.5,120,10,4.7,196,ARI
2014,CB,70,200,4.45,4.3,7.04,0,0,16,5,225,MIN
2014,FS,71,207,4.58,0,0,34.5,116,18,6.2,18,NYJ
2014,DE,75,293,0,0,0,0,0,36,5,243,SFO
2014,CB,70,189,0,0,0,0,0,22,5.1,170,SFO
2014,WR,70,163,4.46,4.18,6.63,41,132,0,5.2,240,SDG
2014,DT,74,302,4.91,0,7.59,26.5,106,20,5.2,158,DET
2014,OLB,77,245,0,0,0,0,0,26,5.4,233,NYJ
